"$ACTION","$COMPANY","$EE_SSN","$PLAN_ID","$EFFECTIVE_DATE","$DEDN_START","$PREMIUM","$CONTRIB","$SECTION_125"
"N","220270","068-479-525","MPI","2023-09-01","2023-09-01","38.95","38.95","N"
"N","171232","011-585-788","GPC","2023-09-01","2023-09-01","436.62","436.62","N"
"N","220280","764-037-966","MPI","2023-09-01","2023-09-01","51.57","51.57","N"
"N","220280","605-079-798","MPI","2023-09-01","2023-09-01","92.36","92.36","N"
"C","220280","558-730-349","GPC","2023-09-01","2023-09-01","601.86","601.86","N"
"N","210028","573-919-196","MPI","2023-09-01","2023-09-01","27.1","27.1","N"
"N","210272","222-860-268","MPI","2023-09-01","2023-09-01","24.29","24.29","N"
"C","151088","436-043-619","GPC","2023-09-01","2023-09-01","36.29","36.29","N"
"N","171199","607-326-461","MPI","2023-09-01","2023-09-01","126.05","126.05","N"
"C","171199","044-825-092","GPC","2023-09-01","2023-09-01","120.73","120.73","N"
"C","220053","062-746-318","MPI","2023-09-01","2023-09-01","53.73","53.73","N"
"C","191101","257-558-693","GPC","2023-09-01","2023-09-01","366.72","366.72","N"
"C","171007","629-285-255","MPI","2023-09-01","2023-09-01","31.75","31.75","N"
"N","171007","379-275-624","MPI","2023-09-01","2023-09-01","10.22","10.22","N"
"N","220019","052-821-961","MPI","2023-09-01","2023-09-01","72.07","72.07","N"
"N","181195","878-934-755","MPI","2023-09-01","2023-09-01","59.09","59.09","N"
"C","201159","591-025-744","GPC","2023-09-01","2023-09-01","287.51","287.51","N"
"N","161114","414-755-729","MPI","2023-09-01","2023-09-01","53.87","53.87","N"
"N","121015","267-916-632","MPI","2023-09-01","2023-09-01","63.86","63.86","N"
"C","181137","238-459-991","MPI","2023-09-01","2023-09-01","47.95","47.95","N"
"C","201163","617-627-379","GPC","2023-09-01","2023-09-01","200.01","200.01","N"
"N","181224","189-721-515","MPI","2023-09-01","2023-09-01","73.92","73.92","N"
"N","191634","614-943-090","MPI","2023-09-01","2023-09-01","28.7","28.7","N"
